RA,Fase,Turma,Nome,Ano nasc,Idade 22,Genero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra,INDE,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV,ANO,Atingiu_PV,INDE 2023,Nome Anonimizado,Data de Nasc,Idade,Pedra 22,Pedra 23,INDE 22,IPP,Mat,Por,Ing,Fase Ideal,Destaque IPV.1,INDE 23,Avaliador5,Avaliador6,Escola,Ativo/ Inativo,Ativo/ Inativo.1,Pedra_Ordem,EM_RISCO
RA-11,7,A,Aluno-11,2004.0,18.0,Menina,2016,Escola Pública,Quartzo,Ágata,QUARTZO,5.323,"799,000",19.0,11.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.2,4.2,5.0,Requer avaliação,3.0,"1,8","2,5","4,5",Não,6.389,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-12,7,A,Aluno-12,2005.0,17.0,Menina,2020,Escola Pública,Ágata,Ágata,QUARTZO,4.832,"834,000",20.0,12.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,0.0,4.0,6.9,Sem limitações,1.5,"2,7","1,1","0,7",Sim,6.389,10.0,Fase 7 (3º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-13,7,A,Aluno-13,2004.0,18.0,Menino,2016,Escola Pública,Ametista,Ametista,AGATA,6.902,"524,000",10.0,4.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,7.4,7.5,Sem limitações,4.7,"3,5","5,5","5,2",Sim,8.056,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-14,7,D,Aluno-14,2001.0,21.0,Menino,2022,Escola Pública,,,AGATA,6.793,"558,000",12.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.9,8.3,7.5,Não atendido,4.0,"8,0","0,0",,Sim,7.75,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-15,7,D,Aluno-15,2004.0,18.0,Menino,2022,Escola Pública,,,AMETISTA,7.783,"207,000",3.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.3,"8,0","6,5",,Sim,7.292,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-16,7,D,Aluno-16,2003.0,19.0,Menino,2022,Escola Pública,,,AGATA,6.112,"706,000",14.0,8.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,8.3,5.0,Requer avaliação,3.5,"7,0","0,0",,Sim,6.333,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-17,7,D,Aluno-17,2002.0,20.0,Menino,2022,Escola Pública,,,TOPAZIO,8.068,"125,000",2.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.8,"9,0","6,5",,Sim,8.292,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,TOPAZIO,0
RA-18,7,D,Aluno-18,2003.0,19.0,Menino,2022,Escola Pública,,,AMETISTA,7.226,"418,000",7.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,6.3,8.7,6.3,Requer avaliação,9.0,"9,0","9,0",,Sim,6.875,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-19,7,D,Aluno-19,2003.0,19.0,Menina,2022,Escola Pública,,,AMETISTA,7.665,"248,000",4.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,9.5,7.5,Sem limitações,8.0,"7,0","9,0",,Sim,7.0,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-20,7,D,Aluno-20,2003.0,19.0,Menina,2022,Escola Pública,,,AMETISTA,7.535,"296,000",5.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.1,10.0,6.3,Não atendido,7.8,"9,0","6,5",,Sim,7.167,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-21,7,D,Aluno-21,2004.0,18.0,Menino,2022,Escola Pública,,,AGATA,6.945,"508,000",9.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.6,9.2,7.5,Não atendido,3.8,"7,0","0,5",,Sim,7.25,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-22,6,A,Aluno-22,2005.0,17.0,Menina,2019,Rede Decisão,Ametista,Ágata,AMETISTA,7.474,"327,000",10.0,10.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,8.3,7.4,8.1,Sem limitações,6.7,"9,0","3,1","7,8",Não,8.833,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-23,6,A,Aluno-23,2005.0,17.0,Menino,2021,Escola Pública,,Ametista,AMETISTA,7.677,"243,000",8.0,8.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.2,8.1,Sem limitações,6.7,"7,2","4,7","8,2",Sim,8.556,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-24,6,A,Aluno-24,2005.0,17.0,Menina,2021,Rede Decisão,,Topázio,TOPAZIO,8.087,"119,000",5.0,5.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,7.9,6.9,Requer avaliação,8.6,"10,0","6,3","9,7",Não,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,TOPAZIO,0
RA-25,6,A,Aluno-25,2005.0,17.0,Menina,2021,Escola Pública,,Topázio,AMETISTA,7.979,"147,000",6.0,6.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.3,8.8,Sem limitações,6.9,"9,2","3,8","7,7",Sim,9.667,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-26,6,A,Aluno-26,2005.0,17.0,Menino,2022,Escola Pública,,,TOPAZIO,8.677,"17,000",3.0,3.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.6,8.8,10.0,Sem limitações,8.0,"9,5","4,4","10,0",Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,TOPAZIO,0
RA-27,6,A,Aluno-27,2005.0,17.0,Menino,2016,Rede Decisão,Topázio,Ametista,AMETISTA,7.124,"449,000",12.0,12.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.6,8.1,Sem limitações,8.0,"7,7","6,3","10,0",Não,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-28,6,A,Aluno-28,2005.0,17.0,Menina,2019,Escola Pública,Ametista,Ametista,AGATA,6.242,"698,000",14.0,14.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.9,6.1,7.5,Requer avaliação,5.0,"8,2","1,5","5,3",Não,6.333,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-29,6,A,Aluno-29,2005.0,17.0,Menino,2022,Escola Pública,,,QUARTZO,4.985,"821,000",16.0,16.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,0.0,4.0,8.8,Requer avaliação,3.7,"6,3","1,1","3,8",Sim,7.611,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-30,6,A,Aluno-30,2006.0,16.0,Menina,2021,Escola Pública,,Ametista,AMETISTA,7.605,"270,000",9.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,6.4,7.5,Sem limitações,7.5,"8,5","4,4","9,7",Não,7.333,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-31,6,A,Aluno-31,2005.0,17.0,Menina,2019,Rede Decisão,Topázio,Topázio,TOPAZIO,8.843,"9,000",2.0,2.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.5,9.4,Sem limitações,8.0,"9,0","5,7","9,3",Não,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,TOPAZIO,0
RA-32,6,A,Aluno-32,2006.0,16.0,Menina,2018,Rede Decisão,Ametista,Ametista,AMETISTA,7.37,"370,000",11.0,11.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.8,5.2,8.8,Sem limitações,6.1,"5,7","3,6","8,9",Não,7.944,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-33,6,A,Aluno-33,2005.0,17.0,Menina,2020,Escola Pública,Ágata,Ametista,QUARTZO,4.952,"824,000",17.0,17.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,4.6,7.5,Sem limitações,4.8,"9,0","1,6","3,7",Não,6.0,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-34,6,A,Aluno-34,2005.0,17.0,Menino,2016,Rede Decisão,Ametista,Ametista,AGATA,6.259,"692,000",13.0,13.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,4.8,8.1,Sem limitações,3.8,"4,7","4,0","2,8",Não,7.278,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-35,6,A,Aluno-35,2005.0,17.0,Menina,2019,Rede Decisão,Ametista,Topázio,TOPAZIO,8.965,"5,000",1.0,1.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.6,9.4,Sem limitações,8.5,"9,0","7,1","9,3",Não,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,TOPAZIO,0
RA-36,6,A,Aluno-36,2005.0,17.0,Menina,2019,Rede Decisão,Topázio,Ametista,AMETISTA,7.876,"177,000",7.0,7.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.0,6.9,Sem limitações,6.8,"8,5","4,3","7,8",Não,8.944,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-37,6,A,Aluno-37,2005.0,17.0,Menina,2019,Rede Decisão,Ametista,Ágata,QUARTZO,4.95,"825,000",18.0,18.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,0.0,5.4,5.0,Sem limitações,5.9,"2,3","5,3","10,0",Não,5.222,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-38,6,A,Aluno-38,2005.0,17.0,Menina,2017,Rede Decisão,Ametista,Ametista,TOPAZIO,8.523,"31,000",4.0,4.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.9,7.5,Não indicado,8.6,"9,0","7,0","9,7",Não,9.833,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,TOPAZIO,0
RA-39,6,A,Aluno-39,2006.0,16.0,Menina,2017,Rede Decisão,Ametista,Ametista,AGATA,6.033,"722,000",15.0,15.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,0.0,4.8,6.9,Requer avaliação,6.9,"7,7","5,1","7,8",Não,6.111,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-40,5,A,Aluno-40,2006.0,16.0,Menina,2016,Rede Decisão,Ametista,Ágata,AMETISTA,7.203,"429,000",27.0,3.0,3.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,7.9,7.8,7.5,Sem limitações,6.8,"4,7","7,3","8,4",Não,7.75,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
