RA,ANO,Fase,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Defas,Atingiu_PV,EM_RISCO
RA-846,2023,0,7.4637,9.5,8.2,3.77,6.0,5.625,8.67,10.0,0,,0
RA-901,2023,0,7.3112,8.5,8.7,3.77,7.5,6.25,8.595,5.0,-2,,0
RA-743,2023,0,6.659,0.0,9.1,3.77,7.1,7.5,9.01,5.0,-2,,0
RA-681,2023,0,6.2955,0.0,7.8,3.77,8.3,5.625,8.18,5.0,-2,,0
RA-902,2023,0,5.97345,10.0,9.3,2.52,3.9,5.3125,6.5,2.5,-3,,1
RA-903,2023,0,8.5242,10.0,9.6,5.02,7.8,7.5,9.01,10.0,0,,0
RA-851,2023,0,6.1683,8.4,7.5,2.52,6.6,5.625,6.01,5.0,-1,,0
RA-847,2023,0,6.5418,7.9,9.1,2.52,7.6,5.0,5.84,5.0,-2,,0
RA-904,2023,0,8.140783333,9.0,9.3,7.52,6.4,7.8125,7.836666667,10.0,0,,0
RA-858,2023,0,7.248833333,0.0,8.1,3.77,9.3,8.125,7.946666667,10.0,0,,0
RA-905,2023,0,7.831033333,9.5,9.4,7.52,8.3,6.875,7.056666667,5.0,-1,,0
RA-702,2023,0,8.239866667,10.0,10.0,5.63,9.3,7.5,7.833333333,5.0,-1,,0
RA-725,2023,0,8.117366667,9.5,9.0,7.52,8.4,8.125,8.113333333,5.0,-1,,0
RA-906,2023,0,8.1922,7.5,9.2,7.52,8.6,7.5,6.95,10.0,0,,0
RA-907,2023,0,8.962033333,9.5,9.6,7.52,9.3,8.125,8.336666667,10.0,0,,0
RA-908,2023,0,8.479366667,9.0,9.0,7.52,7.9,8.125,8.223333333,10.0,0,,0
RA-909,2023,0,8.486033333,10.0,9.9,7.52,9.2,8.125,8.056666667,5.0,-2,,0
RA-708,2023,0,7.5105,0.0,9.8,7.52,9.2,8.125,8.28,5.0,-1,,0
RA-910,2023,0,7.801,0.0,8.8,7.52,8.9,8.75,8.17,10.0,0,,0
RA-671,2023,0,6.5143,7.9,8.3,3.14,7.8,5.625,5.68,5.0,-2,,0
RA-836,2023,0,7.6417,9.5,9.6,6.27,6.7,6.875,8.085,5.0,-2,,0
RA-911,2023,0,5.59545,9.0,6.7,2.52,3.4,5.3125,7.01,5.0,-2,,1
RA-860,2023,0,8.2372,7.0,9.8,6.89,7.4,7.5,8.34,10.0,0,,0
RA-727,2023,0,7.6802,9.5,8.8,2.52,8.0,7.5,9.34,5.0,-1,,0
RA-739,2023,0,7.5972,9.0,8.3,7.52,7.6,6.25,8.25,5.0,-1,,0
RA-740,2023,0,7.2845,0.0,8.7,7.52,9.1,6.875,8.925,5.0,-2,,0
RA-912,2023,0,7.0797,7.0,9.4,7.52,6.3,5.625,7.175,5.0,-1,,0
RA-706,2023,0,7.1527,9.0,7.8,4.39,7.3,6.875,8.08,5.0,-2,,0
RA-840,2023,0,7.7862,9.5,9.0,4.38,8.2,7.5,8.59,5.0,-1,,0
RA-841,2023,0,6.78,0.0,7.2,7.52,6.9,7.5,9.84,5.0,-2,,0
RA-709,2023,0,6.6927,10.0,7.9,7.52,4.9,5.625,6.59,5.0,-2,,0
RA-913,2023,0,7.7432,8.0,8.5,6.89,7.9,6.25,9.245,5.0,-2,,0
RA-726,2023,0,7.3687,10.0,6.1,7.52,6.0,5.625,8.17,10.0,0,,0
RA-914,2023,0,8.6912,10.0,9.2,7.52,8.7,6.25,8.67,10.0,0,,0
RA-915,2023,0,8.5962,10.0,8.4,7.52,8.4,7.5,8.67,10.0,0,,0
RA-916,2023,0,7.3882,9.5,9.7,2.52,6.6,6.25,9.005,5.0,-1,,0
RA-917,2023,0,5.987,0.0,7.2,2.52,7.0,6.25,6.35,10.0,0,,1
RA-918,2023,0,7.4967,10.0,8.7,2.52,7.7,5.625,7.01,10.0,0,,0
RA-919,2023,0,6.225,0.0,8.4,7.52,5.3,6.25,8.09,5.0,-1,,0
RA-920,2023,0,6.9647,9.0,6.3,7.52,6.1,5.625,6.35,10.0,0,,0
RA-921,2023,0,7.7407,9.0,9.7,7.52,6.3,5.625,6.68,10.0,0,,0
RA-922,2023,0,8.5262,8.5,9.7,3.14,8.4,7.5,10.01,10.0,0,,0
RA-715,2023,0,5.8915,0.0,9.5,3.14,5.4,5.625,7.675,5.0,-2,,1
RA-822,2023,0,6.4497,8.5,8.4,2.52,7.1,5.625,5.925,5.0,-2,,0
RA-923,2023,0,8.8842,9.5,9.9,7.52,7.3,7.5,10.01,10.0,0,,0
RA-742,2023,0,7.024,0.0,7.6,7.52,7.5,7.5,10.01,5.0,-2,,0
RA-924,2023,0,6.5207,9.0,5.6,7.52,5.0,5.625,5.93,10.0,0,,0
RA-925,2023,0,7.1837,9.0,8.9,7.52,5.4,5.625,5.595,10.0,0,,0
RA-853,2023,0,7.8402,10.0,9.5,3.77,7.4,6.25,9.84,5.0,-1,,0
RA-854,2023,0,6.6415,0.0,9.5,3.77,6.0,5.625,8.01,10.0,0,,0
RA-700,2023,0,8.2852,9.5,9.7,7.52,7.8,6.25,9.84,5.0,-1,,0
RA-701,2023,0,7.3982,9.5,9.9,3.77,7.2,6.25,7.68,5.0,-2,,0
RA-856,2023,0,7.3355,0.0,9.6,7.52,7.3,5.625,8.255,10.0,0,,0
RA-672,2023,0,6.5623,7.9,9.5,2.52,6.4,5.625,6.43,5.0,-2,,0
RA-859,2023,0,8.6042,8.0,9.2,7.52,7.3,7.5,10.01,10.0,0,,0
RA-704,2023,0,6.8297,10.0,9.9,3.14,6.1,5.625,6.265,5.0,-2,,0
RA-741,2023,0,6.2707,9.5,6.9,4.39,5.1,5.625,7.095,5.0,-2,,0
RA-719,2023,0,6.4137,9.5,5.3,7.52,5.9,5.625,7.095,5.0,-2,,0
RA-926,2023,0,7.7792,9.0,10.0,3.77,6.8,7.5,9.51,5.0,-1,,0
RA-927,2023,0,7.5982,9.0,9.7,3.77,6.4,7.5,9.255,5.0,-1,,0
RA-928,2023,0,9.3712,8.5,10.0,7.52,9.8,8.75,9.67,10.0,0,,0
RA-929,2023,0,9.1312,8.5,9.8,7.52,8.8,8.75,9.67,10.0,0,,0
RA-930,2023,0,8.8872,9.0,8.8,7.52,9.0,8.75,9.0,10.0,0,,0
RA-931,2023,0,7.3747,8.5,8.2,2.52,7.8,5.625,7.6,10.0,0,,0
RA-932,2023,0,8.3847,9.5,7.9,7.52,7.5,8.125,9.0,10.0,0,,0
RA-933,2023,0,8.6712,9.0,8.4,7.52,7.7,8.75,9.67,10.0,0,,0
RA-934,2023,0,9.1737,9.0,9.6,7.52,8.7,9.375,9.67,10.0,0,,0
RA-935,2023,0,7.9535,0.0,9.8,7.52,9.4,9.375,9.67,5.0,-1,,0
RA-936,2023,0,8.5477,9.0,10.0,7.52,6.5,8.125,8.915,10.0,0,,0
RA-937,2023,0,9.3237,9.5,9.6,7.52,9.2,9.375,9.67,10.0,0,,0
RA-756,2023,0,7.0927,10.0,8.7,7.52,6.1,5.625,6.59,5.0,-2,,0
RA-938,2023,0,6.7372,8.5,8.4,7.52,4.2,6.25,7.5,5.0,-1,,0
RA-939,2023,0,7.9742,9.0,10.0,7.52,5.4,7.5,10.01,5.0,-2,,0
RA-789,2023,0,7.974,0.0,9.5,7.52,7.9,7.5,10.01,10.0,0,,0
RA-792,2023,0,7.6267,9.0,7.7,7.52,7.2,6.875,9.085,5.0,-2,,0
RA-940,2023,0,6.6112,9.0,8.4,2.52,6.3,6.25,7.02,5.0,-2,,0
RA-941,2023,0,7.6872,8.0,10.0,7.52,5.0,5.0,8.175,10.0,0,,0
RA-942,2023,0,6.8547,9.5,8.9,2.52,7.1,5.625,7.0,5.0,-2,,0
RA-943,2023,0,8.9172,9.5,9.4,7.52,8.0,7.5,9.925,10.0,0,,0
RA-782,2023,0,7.6812,8.5,9.8,2.52,7.5,7.5,9.345,5.0,-1,,0
RA-768,2023,0,8.4042,10.0,9.1,7.52,7.9,7.5,10.01,5.0,-2,,0
RA-794,2023,0,7.9842,9.0,9.2,7.52,6.2,7.5,10.01,5.0,-1,,0
RA-795,2023,0,8.4642,9.0,9.6,7.52,8.2,7.5,10.01,5.0,-1,,0
RA-944,2023,0,7.0687,9.0,7.6,7.52,7.5,5.625,6.67,5.0,-1,,0
RA-945,2023,0,8.0777,8.5,9.2,7.52,7.9,6.875,6.84,10.0,0,,0
RA-946,2023,0,8.5822,9.5,9.4,7.52,9.3,7.5,7.0,10.0,0,,0
RA-754,2023,0,6.0537,9.5,6.1,2.52,5.6,6.875,6.67,5.0,-2,,0
RA-947,2023,0,6.3457,9.0,7.9,7.52,3.3,4.375,5.08,10.0,0,,0
RA-948,2023,0,6.5277,9.0,7.6,7.52,0.0,6.875,8.34,10.0,0,,0
RA-949,2023,0,8.0172,9.5,8.1,7.52,8.9,6.25,6.5,10.0,0,,0
RA-950,2023,0,8.8862,9.0,10.0,7.52,9.3,7.5,8.17,10.0,0,,0
RA-773,2023,0,6.9287,10.0,7.5,2.52,7.9,5.625,7.67,5.0,-1,,0
RA-951,2023,0,8.8902,9.5,9.7,7.52,8.4,7.5,9.09,10.0,0,,0
RA-769,2023,0,7.85345,10.0,9.3,3.77,8.0,7.8125,8.675,5.0,-2,,0
RA-952,2023,0,8.37095,9.5,9.2,3.77,9.0,7.1875,8.425,10.0,0,,0
RA-826,2023,0,7.77645,10.0,10.0,3.77,7.3,7.8125,8.34,5.0,-1,,0
RA-953,2023,0,7.54005,7.4,8.8,3.14,8.3,6.5625,7.09,10.0,0,,0
RA-954,2023,0,6.82375,0.0,8.3,3.14,7.7,7.1875,8.005,10.0,0,,0
RA-780,2023,0,7.7842,9.5,8.8,3.14,8.3,8.75,8.675,5.0,-2,,0
RA-955,2023,0,7.1297,9.0,8.8,3.14,7.8,6.875,7.09,5.0,-2,,0
RA-831,2023,0,7.71645,8.0,9.4,3.77,8.3,7.8125,8.59,5.0,-1,,0
RA-783,2023,0,7.2922,9.5,6.8,3.77,8.9,7.5,7.925,5.0,-1,,0
RA-774,2023,0,5.852,0.0,9.5,3.14,6.9,5.0,6.34,5.0,-1,,1
RA-748,2023,0,8.7142,9.5,9.7,7.52,9.1,7.5,10.01,5.0,-2,,0
RA-749,2023,0,7.7597,10.0,9.0,7.52,7.3,5.625,8.425,5.0,-1,,0
RA-956,2023,0,7.7312,8.0,7.5,7.52,7.8,7.5,9.345,5.0,-2,,0
RA-787,2023,0,7.5227,9.0,9.8,7.52,5.9,5.625,8.34,5.0,-1,,0
RA-957,2023,0,9.1672,10.0,9.3,7.52,9.1,7.5,9.925,10.0,0,,0
RA-753,2023,0,8.6672,9.0,9.9,7.52,9.0,7.5,9.925,5.0,-1,,0
RA-958,2023,0,9.2902,10.0,9.8,7.52,9.3,7.5,9.84,10.0,0,,0
RA-755,2023,0,8.7442,10.0,9.5,7.52,9.2,7.5,10.01,5.0,-1,,0
RA-763,2023,0,6.7215,0.0,9.2,3.14,7.9,6.875,9.0,5.0,-2,,0
RA-757,2023,0,8.6742,9.0,9.6,7.52,9.3,7.5,10.01,5.0,-2,,0
RA-959,2023,0,8.6677,10.0,9.6,7.52,7.7,6.875,8.84,10.0,0,,0
RA-960,2023,0,7.0847,8.5,10.0,7.52,6.3,5.625,5.85,5.0,-2,,0
RA-961,2023,0,5.99625,0.0,8.7,2.52,6.2,5.3125,8.665,5.0,-1,,1
RA-962,2023,0,8.4742,9.0,9.2,7.52,8.7,7.5,10.01,5.0,-1,,0
RA-805,2023,0,6.492,0.0,9.1,7.52,6.8,6.25,7.175,5.0,-1,,0
RA-806,2023,0,7.2937,8.5,8.3,6.27,7.8,6.875,7.095,5.0,-1,,0
RA-807,2023,0,7.8632,9.5,9.1,7.52,8.0,6.25,8.08,5.0,-1,,0
RA-963,2023,0,8.6142,9.5,9.8,7.52,8.5,7.5,10.01,5.0,-1,,0
RA-964,2023,0,7.7997,8.5,9.4,7.52,7.2,6.875,8.5,5.0,-1,,0
RA-965,2023,0,6.4832,8.5,8.2,6.27,4.7,5.0,7.18,5.0,-1,,0
RA-966,2023,0,7.44345,10.0,10.0,7.52,5.0,6.5625,7.675,5.0,-1,,0
RA-967,2023,0,7.1347,9.5,8.0,7.52,6.5,5.625,7.35,5.0,-2,,0
RA-968,2023,0,8.4942,9.0,9.7,7.52,8.3,7.5,10.01,5.0,-1,,0
RA-812,2023,0,8.0357,9.5,9.1,7.52,5.8,6.875,8.33,10.0,0,,0
RA-969,2023,0,7.7692,8.5,9.7,7.52,5.5,6.25,7.51,10.0,0,,0
RA-970,2023,0,8.9977,8.5,8.1,7.52,9.4,9.375,9.84,10.0,0,,0
RA-971,2023,0,7.0169,7.8,6.4,3.77,6.9,5.625,8.17,10.0,0,,0
RA-972,2023,0,7.5427,9.0,9.1,3.77,6.0,6.875,7.84,10.0,0,,0
RA-973,2023,0,5.82875,0.0,8.6,3.77,5.2,7.1875,7.415,5.0,-1,,1
RA-974,2023,0,8.4752,9.0,9.1,3.77,8.8,7.5,9.34,10.0,0,,0
RA-975,2023,0,7.7803,7.9,9.2,7.52,6.5,5.625,7.67,10.0,0,,0
RA-976,2023,0,8.39895,9.5,9.2,6.27,8.6,5.9375,8.34,10.0,0,,0
RA-977,2023,0,7.1717,8.5,7.4,5.02,5.8,5.625,8.085,10.0,0,,0
RA-978,2023,0,8.3877,9.0,9.8,3.77,8.6,5.625,9.34,10.0,0,,0
RA-979,2023,0,8.1617,9.5,9.6,6.27,6.0,5.625,9.51,10.0,0,,0
RA-980,2023,0,7.1425,0.0,9.8,5.02,6.3,5.625,9.34,10.0,0,,0
RA-808,2023,0,8.1932,10.0,10.0,2.52,8.7,7.5,9.755,5.0,-1,,0
RA-981,2023,0,7.5367,9.5,9.1,2.52,5.8,5.625,9.01,10.0,0,,0
RA-982,2023,0,7.1215,0.0,9.1,2.52,8.6,5.625,8.835,10.0,0,,0
RA-983,2023,0,8.3502,8.5,9.9,2.52,8.8,6.25,9.415,10.0,0,,0
RA-984,2023,0,8.8177,8.0,9.8,7.52,8.3,6.875,9.84,10.0,0,,0
RA-985,2023,0,7.6247,9.0,9.3,2.52,6.8,5.625,8.5,10.0,0,,0
RA-986,2023,0,8.0107,9.5,9.1,2.52,8.3,5.625,8.83,10.0,0,,0
RA-987,2023,0,7.6765,0.0,9.8,6.27,7.3,6.875,9.76,10.0,0,,0
RA-988,2023,0,7.9568,7.9,8.1,7.52,8.5,6.25,9.84,5.0,-1,,0
RA-989,2023,0,7.7242,9.5,8.1,2.52,8.3,7.5,10.01,5.0,-1,,0
RA-677,2023,0,8.5257,10.0,8.2,10.0,8.7,6.875,9.84,5.0,-1,,0
RA-990,2023,0,7.254,0.0,8.5,7.52,7.8,7.5,10.01,5.0,-1,,0
RA-991,2023,0,7.7687,10.0,9.1,3.14,7.7,6.875,9.585,5.0,-1,,0
RA-992,2023,0,7.2722,9.5,8.2,3.14,8.0,5.0,8.84,5.0,-2,,0
RA-703,2023,0,6.2737,9.5,8.4,3.14,4.6,6.875,6.16,5.0,-2,,0
RA-993,2023,0,8.7592,9.5,9.8,3.77,8.6,7.5,10.01,10.0,0,,0
RA-674,2023,0,6.6328,7.9,8.5,3.77,5.2,5.0,8.67,5.0,-1,,0
RA-994,2023,0,7.4127,9.5,9.4,3.77,6.0,5.625,7.265,10.0,0,,0
RA-995,2023,0,6.4782,9.5,7.9,3.77,5.1,6.25,7.18,5.0,-2,,0
RA-996,2023,0,8.1892,10.0,9.2,3.77,8.6,7.5,10.01,5.0,-1,,0
RA-997,2023,0,7.5687,7.5,8.7,3.77,7.1,5.625,8.595,10.0,0,,0
RA-998,2023,0,7.9752,9.5,9.3,3.77,7.9,7.5,9.84,5.0,-2,,0
RA-999,2023,0,8.0352,9.0,9.4,3.77,8.3,7.5,9.84,5.0,-1,,0
RA-750,2023,0,5.6857,9.5,7.7,3.14,3.4,4.375,6.32,5.0,-2,,1
RA-770,2023,0,6.6785,0.0,8.3,3.77,5.9,6.875,8.92,10.0,0,,0
RA-771,2023,0,7.056,0.0,8.8,3.14,8.2,6.25,8.585,10.0,0,,0
RA-1000,2023,0,7.9162,8.5,9.4,3.77,7.0,6.25,8.92,10.0,0,,0
RA-830,2023,0,6.78,0.0,8.9,3.14,8.3,6.25,9.505,5.0,-1,,0
RA-1001,2023,0,8.1162,9.0,9.1,7.52,7.8,7.5,9.17,5.0,-1,,0
RA-1002,2023,0,7.9012,9.0,9.7,7.52,7.0,6.25,8.92,5.0,-1,,0
RA-1003,2023,0,7.6522,9.0,8.5,7.52,4.0,7.5,8.75,10.0,0,,0
RA-835,2023,0,8.2467,8.0,8.5,7.52,8.7,6.875,7.835,10.0,0,,0
RA-1004,2023,0,8.3137,9.0,9.6,7.52,7.9,6.875,7.42,10.0,0,,0
RA-1005,2023,0,8.4252,9.5,7.9,7.52,8.8,7.5,8.165,10.0,0,,0
RA-1006,2023,0,8.5922,9.0,9.3,7.52,8.7,7.5,8.0,10.0,0,,0
RA-705,2023,0,6.982,0.0,8.3,6.89,8.8,7.5,8.165,5.0,-2,,0
RA-1007,2023,0,8.0782,9.0,7.4,7.52,8.3,7.5,7.68,10.0,0,,0
RA-1008,2023,0,8.13595,9.0,8.6,7.52,8.4,5.9375,7.5,10.0,0,,0
RA-729,2023,0,7.26545,8.0,9.1,3.77,8.6,6.5625,7.01,5.0,-1,,0
RA-1009,2023,0,7.245,0.0,9.0,3.77,8.8,7.5,7.84,10.0,0,,0
RA-1010,2023,0,8.70645,9.5,10.0,3.77,9.4,7.8125,8.59,10.0,0,,0
RA-1011,2023,0,7.33095,9.5,8.6,3.77,5.2,7.1875,7.675,10.0,0,,0
RA-1012,2023,0,7.96495,10.0,9.9,3.77,6.6,7.1875,7.845,10.0,0,,0
RA-1013,2023,0,7.6237,9.0,9.6,4.39,8.3,5.625,5.76,10.0,0,,0
RA-1014,2023,0,8.2582,9.0,9.7,3.77,8.2,7.5,8.255,10.0,0,,0
RA-1015,2023,1,7.538908333,10.0,9.3,6.27,6.3,7.34375,7.786666667,5.0,-1,,0
RA-734,2023,1,7.305908333,8.5,8.0,7.52,6.9,7.34375,7.446666667,5.0,-1,,0
RA-687,2023,1,7.617533333,8.0,9.0,7.52,6.9,7.5,8.226666667,5.0,-1,,0
RA-1016,2023,1,7.762575,10.0,9.5,7.52,6.7,7.34375,7.73,5.0,-1,,0
RA-1017,2023,1,6.505333333,0.0,8.0,5.02,7.7,7.5,8.116666667,5.0,-1,,0
RA-688,2023,1,8.0442,8.5,9.3,7.52,8.6,7.5,8.06,5.0,-1,,0
RA-1018,2023,1,6.824,0.0,8.5,5.02,6.3,7.5,8.06,10.0,0,,0
RA-696,2023,1,7.172666667,0.0,9.4,5.02,6.7,7.5,8.503333333,10.0,0,,0
RA-1019,2023,1,7.177033333,7.5,9.1,5.02,4.3,6.875,7.836666667,10.0,1,,1
RA-514,2023,1,5.823133333,7.9,7.5,2.52,5.5,5.0,5.896666667,5.0,-1,,1
RA-1020,2023,1,7.612283333,10.0,9.1,2.52,6.1,7.1875,8.056666667,10.0,0,,0
RA-1021,2023,1,6.964616667,8.0,9.2,3.77,3.3,7.1875,7.893333333,10.0,0,,0
RA-1022,2023,1,7.164616667,8.5,8.5,3.77,4.7,7.1875,7.893333333,10.0,0,,0
RA-1023,2023,1,9.1342,10.0,10.0,6.27,9.1,8.75,9.06,10.0,0,,0
RA-699,2023,1,6.389991667,8.5,8.3,3.77,6.0,5.78125,6.173333333,5.0,-1,,0
RA-480,2023,1,8.226408333,10.0,9.7,7.52,7.9,7.96875,8.336666667,5.0,-1,,0
RA-678,2023,1,7.570158333,8.0,8.8,6.27,7.3,7.65625,8.336666667,5.0,-1,,0
RA-1024,2023,1,7.788875,0.0,10.0,6.27,9.8,9.21875,8.95,5.0,-1,,0
RA-502,2023,1,8.749075,8.5,9.8,7.52,8.0,7.96875,8.95,10.0,0,,0
RA-1025,2023,1,8.215158333,8.5,8.9,7.52,7.5,7.65625,7.836666667,10.0,0,,0
RA-680,2023,1,6.5855,0.0,9.1,7.52,6.4,6.875,7.78,5.0,-1,,0
RA-1026,2023,1,6.494825,8.5,9.8,7.52,3.2,6.40625,7.06,2.5,-3,,0
RA-698,2023,1,7.553616667,8.5,9.9,2.52,5.7,7.1875,8.113333333,10.0,0,,0
RA-533,2023,1,7.434866667,9.0,9.3,7.52,5.8,7.5,7.613333333,5.0,-1,,0
RA-504,2023,1,8.299533333,8.0,8.3,7.52,7.9,7.5,8.836666667,10.0,0,,0
RA-1027,2023,1,7.748866667,9.5,9.7,7.52,6.0,7.5,8.333333333,5.0,-1,,0
RA-529,2023,1,7.278991667,8.0,9.6,7.52,6.8,5.78125,6.893333333,5.0,-2,,0
RA-1028,2023,1,6.415708333,0.0,9.2,7.52,5.0,7.34375,7.946666667,5.0,-1,,0
RA-686,2023,1,7.9642,8.5,9.0,7.52,8.0,7.5,8.56,5.0,-1,,0
RA-1029,2023,1,7.058533333,10.0,6.3,3.77,5.4,7.5,8.006666667,10.0,0,,0
RA-1030,2023,1,7.4027,8.5,9.7,3.77,6.9,6.875,8.39,5.0,-1,,0
RA-522,2023,1,7.890533333,7.5,9.2,7.52,8.3,7.083333333,8.45,5.0,-1,,0
RA-501,2023,1,8.1357,7.0,8.4,7.52,8.9,8.541666667,9.396666667,5.0,-1,,0
RA-692,2023,1,6.588466667,7.4,7.7,7.52,4.6,6.666666667,7.39,5.0,-1,,0
RA-527,2023,1,7.5682,9.0,9.1,7.52,6.5,7.5,7.78,5.0,-1,,0
RA-1031,2023,1,7.0602,8.0,8.8,7.52,5.9,6.666666667,7.006666667,5.0,-1,,0
RA-1032,2023,1,7.434033333,8.5,9.5,7.52,6.0,7.291666667,7.563333333,5.0,-1,,0
RA-1033,2023,1,8.126033333,9.0,8.9,7.52,7.9,8.125,9.006666667,5.0,-1,,0
RA-1034,2023,1,7.9642,7.5,9.0,7.52,8.3,8.333333333,8.393333333,5.0,-1,,0
RA-1035,2023,1,6.888833333,0.0,8.3,7.52,5.8,7.708333333,7.78,10.0,0,,0
RA-730,2023,1,7.979325,10.0,8.7,5.02,7.8,9.53125,8.67,5.0,-1,,0
RA-855,2023,1,8.62995,9.5,10.0,7.52,6.8,8.4375,8.67,10.0,0,,0
RA-820,2023,1,7.85605,7.9,7.4,7.52,8.9,9.0625,8.28,5.0,-1,,0
RA-738,2023,1,8.123283333,8.0,9.3,7.52,6.0,8.4375,8.336666667,10.0,0,,0
RA-1036,2023,1,6.970583333,0.0,9.6,3.77,8.0,9.0625,8.336666667,5.0,-1,,0
RA-1037,2023,1,7.655575,9.0,8.4,7.52,6.7,8.59375,8.17,5.0,-1,,0
RA-576,2023,1,7.984741667,9.0,9.3,5.02,8.0,9.21875,8.503333333,5.0,-1,,0
RA-1038,2023,1,7.736825,8.0,9.3,7.52,6.5,8.90625,8.17,5.0,-1,,0
RA-1039,2023,1,7.686033333,8.0,9.9,7.52,6.2,8.125,8.056666667,5.0,-2,,0
RA-1040,2023,1,7.81545,10.0,9.3,7.52,6.6,7.8125,8.06,5.0,-1,,0
